Index,Prime_Number,Is_Even,Digit_Count,Last_Digit,Gap_From_Previous
0,2,True,1,2,0
1,3,False,1,3,1
2,5,False,1,5,2
3,7,False,1,7,2
4,11,False,2,1,4
5,13,False,2,3,2
6,17,False,2,7,4
7,19,False,2,9,2
8,23,False,2,3,4
9,29,False,2,9,6
10,31,False,2,1,2
11,37,False,2,7,6
12,41,False,2,1,4
13,43,False,2,3,2
14,47,False,2,7,4
15,53,False,2,3,6
16,59,False,2,9,6
17,61,False,2,1,2
18,67,False,2,7,6
19,71,False,2,1,4
20,73,False,2,3,2
21,79,False,2,9,6
22,83,False,2,3,4
23,89,False,2,9,6
24,97,False,2,7,8
25,101,False,3,1,4
26,103,False,3,3,2
27,107,False,3,7,4
28,109,False,3,9,2
29,113,False,3,3,4
30,127,False,3,7,14
31,131,False,3,1,4
32,137,False,3,7,6
33,139,False,3,9,2
34,149,False,3,9,10
35,151,False,3,1,2
36,157,False,3,7,6
37,163,False,3,3,6
38,167,False,3,7,4
39,173,False,3,3,6
40,179,False,3,9,6
41,181,False,3,1,2
42,191,False,3,1,10
43,193,False,3,3,2
44,197,False,3,7,4
45,199,False,3,9,2
46,211,False,3,1,12
47,223,False,3,3,12
48,227,False,3,7,4
49,229,False,3,9,2
50,233,False,3,3,4
51,239,False,3,9,6
52,241,False,3,1,2
53,251,False,3,1,10
54,257,False,3,7,6
55,263,False,3,3,6
56,269,False,3,9,6
57,271,False,3,1,2
58,277,False,3,7,6
59,281,False,3,1,4
60,283,False,3,3,2
61,293,False,3,3,10
62,307,False,3,7,14
63,311,False,3,1,4
64,313,False,3,3,2
65,317,False,3,7,4
66,331,False,3,1,14
67,337,False,3,7,6
68,347,False,3,7,10
69,349,False,3,9,2
70,353,False,3,3,4
71,359,False,3,9,6
72,367,False,3,7,8
73,373,False,3,3,6
74,379,False,3,9,6
75,383,False,3,3,4
76,389,False,3,9,6
77,397,False,3,7,8
78,401,False,3,1,4
79,409,False,3,9,8
80,419,False,3,9,10
81,421,False,3,1,2
82,431,False,3,1,10
83,433,False,3,3,2
84,439,False,3,9,6
85,443,False,3,3,4
86,449,False,3,9,6
87,457,False,3,7,8
88,461,False,3,1,4
89,463,False,3,3,2
90,467,False,3,7,4
91,479,False,3,9,12
92,487,False,3,7,8
93,491,False,3,1,4
94,499,False,3,9,8
